full_name,birth_date,birth_year,birth_month,birth_day,height_cm,weight_kg,hometown,throw_bat
相****,1976年7月11日,1976,7,11,183cm,88kg,千葉県,右/右
靍*****,1987年7月7日,1987,7,7,177cm,80kg,埼玉県,右/右
中****,1989年11月27日,1989,11,27,183cm,83kg,三重県,右/右
大***,1969年5月31日,1969,5,31,186cm,88kg,北海道,右/右
藤****,1982年7月3日,1982,7,3,175cm,77kg,徳島県,右/左
河****,1967年12月22日,1967,12,22,175cm,75kg,東京都,右/左
小****,1985年12月8日,1985,12,8,187cm,80kg,東京都,右/右
藤****,1985年3月12日,1985,3,12,177cm,83kg,大阪府,右/左
加***,1981年3月23日,1981,3,23,186cm,93kg,新潟県,右/右
村****,1980年12月28日,1980,12,28,177cm,92kg,福岡県,右/右
田****,1982年5月24日,1982,5,24,177cm,77kg,京都府,右/右
進****,1970年1月14日,1970,1,14,174cm,86kg,富山県,右/右
田****,1954年7月9日,1954,7,9,184cm,88kg,神奈川県,右/右
浜****,1998年5月25日,1998,5,25,185cm,88kg,福岡県,右/右
近****,2005年9月18日,2005,9,18,174cm,87kg,兵庫県,右/右
高*****,2006年1月18日,2006,1,18,183cm,85kg,埼玉県,右/左
小****,2006年10月10日,2006,10,10,191cm,94kg,東京都,左/左
C******,1994年11月28日,1994,11,28,175cm,89kg,アメリカ合衆国,右/両
濱****,2000年5月3日,2000,5,3,181cm,83kg,大阪府,右/左
関****,1995年6月28日,1995,6,28,173cm,78kg,愛知県,左/左
蝦****,1997年9月20日,1997,9,20,185cm,88kg,青森県,右/右
梶****,1999年9月19日,1999,9,19,189cm,90kg,大分県,右/左
井****,2000年2月23日,2000,2,23,178cm,90kg,福岡県,右/左
勝****,2000年5月22日,2000,5,22,180cm,90kg,東京都,右/左
神****,1994年1月17日,1994,1,17,179cm,86kg,沖縄県,右/左
佐****,1994年11月28日,1994,11,28,178cm,88kg,岡山県,右/左
度****,2002年10月4日,2002,10,4,183cm,83kg,千葉県,右/左
清****,2007年9月27日,2007,9,27,181cm,75kg,,右/右
西****,1999年4月22日,1999,4,22,167cm,70kg,福島県,右/右
小****,2005年10月20日,2005,10,20,180cm,96kg,愛知県,右/左
D*****,1989年3月10日,1989,3,10,185cm,108kg,キューバ共和国,右/右
田****,2007年3月6日,2007,3,6,177cm,79kg,広島県,右/右
宮****,1988年12月12日,1988,12,12,172cm,85kg,佐賀県,右/右
成****,2001年5月23日,2001,5,23,175cm,75kg,,右/右
石****,2001年5月18日,2001,5,18,172cm,85kg,徳島県,右/左
加***,2002年6月15日,2002,6,15,180cm,85kg,神奈川県,右/右
宮****,2004年1月26日,2004,1,26,182cm,88kg,,右/右
柴****,1993年12月16日,1993,12,16,167cm,68kg,岡山県,右/左
三****,1999年2月21日,1999,2,21,186cm,76kg,埼玉県,右/左
筒****,1991年11月26日,1991,11,26,185cm,97kg,和歌山県,右/左
京****,1994年4月20日,1994,4,20,184cm,90kg,石川県,右/左
森***,2002年1月28日,2002,1,28,177cm,80kg,静岡県,右/左
小*****,2003年8月15日,2003,8,15,173cm,85kg,,右/左
牧***,1998年4月21日,1998,4,21,178cm,97kg,長野県,右/右
林***,2000年8月24日,2000,8,24,171cm,80kg,愛知県,右/左
上****,2001年1月29日,2001,1,29,184cm,90kg,愛媛県,右/左
九****,1998年9月5日,1998,9,5,180cm,85kg,大阪府,右/右
古***,2002年6月15日,2002,6,15,176cm,74kg,香川県,右/右
東****,2001年7月3日,2001,7,3,174cm,83kg,和歌山県,右/右
