full_name,birth_date,birth_year,birth_month,birth_day,height_cm,weight_kg,hometown,throw_bat
ア************,1998年03月09日,1998,3,9,183cm,86kg,ベネズエラ,右投げ/右打ち
山*****,2002年07月16日,2002,7,16,190cm,100kg,福岡県,右投げ/右打ち
東***,1999年12月14日,1999,12,14,178cm,90kg,兵庫県,右投げ/右打ち
寺****,2002年10月18日,2002,10,18,186cm,85kg,石川県,右投げ/右打ち
椋***,2000年01月22日,2000,1,22,179cm,86kg,山口県,右投げ/右打ち
平****,1984年03月08日,1984,3,8,186cm,90kg,京都府,右投げ/右打ち
曽****,2000年11月30日,2000,11,30,183cm,83kg,奈良県,左投げ/左打ち
宮****,2001年08月25日,2001,8,25,171cm,85kg,沖縄県,左投げ/左打ち
山****,1995年09月22日,1995,9,22,172cm,68kg,広島県,右投げ/左打ち
阿****,1992年11月03日,1992,11,3,178cm,80kg,大阪府,右投げ/左打ち
山*****,1998年06月15日,1998,6,15,190cm,93kg,石川県,右投げ/右打ち
九****,1991年09月01日,1991,9,1,188cm,98kg,鳥取県,右投げ/右打ち
吉****,2001年01月12日,2001,1,12,175cm,83kg,秋田県,右投げ/右打ち
齋****,2004年11月18日,2004,11,18,178cm,77kg,岩手県,右投げ/右打ち
富****,1997年05月03日,1997,5,3,178cm,88kg,和歌山県,左投げ/左打ち
田****,1996年08月03日,1996,8,3,182cm,82kg,栃木県,左投げ/左打ち
鈴****,1991年06月20日,1991,6,20,175cm,77kg,東京都,右投げ/右打ち
飯****,1990年09月19日,1990,9,19,181cm,85kg,茨城県,右投げ/右打ち
小****,1989年11月04日,1989,11,4,172cm,75kg,熊本県,右投げ/左打ち
松****,1987年11月19日,1987,11,19,179cm,81kg,群馬県,右投げ/左打ち
山****,1982年08月16日,1982,8,16,180cm,88kg,兵庫県,右投げ/右打ち
由*****,1981年07月20日,1981,7,20,175cm,75kg,石川県,左投げ/左打ち
松****,1987年07月10日,1987,7,10,185cm,87kg,大阪府,右投げ/右打ち
小****,1987年06月05日,1987,6,5,177cm,78kg,群馬県,右投げ/左打ち
安****,1988年01月07日,1988,1,7,179cm,80kg,群馬県,右投げ/右打ち
高****,1978年08月07日,1978,8,7,182cm,90kg,岡山県,右投げ/右打ち
福****,1976年12月29日,1976,12,29,177cm,86kg,大阪府,右投げ/右打ち
川****,1983年10月05日,1983,10,5,171cm,74kg,長崎県,右投げ/右打ち
嶋****,1981年10月13日,1981,10,13,180cm,87kg,山口県,右投げ/右打ち
平****,1975年04月21日,1975,4,21,183cm,92kg,愛媛県,右投げ/右打ち
牧***,1974年07月17日,1974,7,17,182cm,89kg,東京都,右投げ/右打ち
比****,1982年12月07日,1982,12,7,177cm,77kg,沖縄県,右投げ/右打ち
厚****,1972年08月11日,1972,8,11,184cm,82kg,埼玉県,左投げ/左打ち
小***,1970年11月30日,1970,11,30,183cm,83kg,広島県,右投げ/右打ち
齋****,1983年12月23日,1983,12,23,180cm,85kg,愛知県,右投げ/右打ち
水****,1968年10月01日,1968,10,1,180cm,102kg,岡山県,右投げ/右打ち
波****,1970年05月25日,1970,5,25,174cm,75kg,京都府,右投げ/右打ち
風****,1968年01月24日,1968,1,24,176cm,71kg,愛知県,右投げ/右打ち
岸***,1981年05月10日,1981,5,10,180cm,78kg,大阪府,右投げ/右打ち
元***,2002年05月17日,2002,5,17,186cm,88kg,岐阜県,右投げ/右打ち
寺****,2003年02月05日,2003,2,5,170cm,86kg,広島県,右投げ/左打ち
三****,2003年03月31日,2003,3,31,190cm,97kg,兵庫県,右投げ/右打ち
杉*****,1991年04月05日,1991,4,5,190cm,104kg,徳島県,右投げ/右打ち
平****,1997年08月16日,1997,8,16,179cm,83kg,福井県,右投げ/左打ち
窪****,2007年07月31日,2007,7,31,185cm,87kg,北海道,右投げ/右打ち
池****,2003年08月24日,2003,8,24,171cm,83kg,大阪府,右投げ/右打ち
来****,2002年10月16日,2002,10,16,182cm,88kg,兵庫県,右投げ/左打ち
杉***,2000年06月02日,2000,6,2,175cm,80kg,秋田県,右投げ/左打ち
麦****,2002年07月27日,2002,7,27,180cm,81kg,宮城県,右投げ/左打ち
西****,1994年12月10日,1994,12,10,178cm,83kg,大阪府,右投げ/左打ち
渡****,1999年09月02日,1999,9,2,171cm,72kg,東京都,左投げ/左打ち
宜***,2000年11月26日,2000,11,26,175cm,75kg,沖縄県,右投げ/左打ち
香****,1996年04月16日,1996,4,16,176cm,83kg,福岡県,右投げ/左打ち
遠***,2001年09月19日,2001,9,19,178cm,84kg,秋田県,右投げ/左打ち
大****,1999年07月07日,1999,7,7,178cm,76kg,岩手県,右投げ/左打ち
清****,2003年04月14日,2003,4,14,173cm,78kg,鹿児島県,右投げ/右打ち
今****,2006年10月19日,2006,10,19,178cm,83kg,山口県,右投げ/左打ち
河****,2000年05月22日,2000,5,22,180cm,82kg,福岡県,右投げ/左打ち
中****,2007年12月30日,2007,12,30,180cm,81kg,京都府,右投げ/右打ち
中****,1996年04月12日,1996,4,12,180cm,76kg,大阪府,右投げ/右打ち
ボ******,1998年10月07日,1998,10,7,191cm,113kg,アメリカ,右投げ/左打ち
横****,2005年10月28日,2005,10,28,181cm,86kg,長野県,右投げ/左打ち
廣****,1997年04月09日,1997,4,9,185cm,92kg,大阪府,右投げ/右打ち
内***,2004年10月05日,2004,10,5,180cm,103kg,愛知県,右投げ/右打ち
紅*****,2002年02月07日,2002,2,7,188cm,95kg,静岡県,右投げ/右打ち
大****,1993年06月14日,1993,6,14,175cm,80kg,沖縄県,右投げ/右打ち
野****,1999年09月20日,1999,9,20,181cm,95kg,奈良県,右投げ/左打ち
宗***,1996年06月07日,1996,6,7,181cm,83kg,神奈川県,右投げ/左打ち
西****,1990年08月02日,1990,8,2,167cm,71kg,東京都,右投げ/左打ち
太***,2001年02月14日,2001,2,14,181cm,84kg,大阪府,右投げ/右打ち
田****,2000年04月09日,2000,4,9,174cm,80kg,岐阜県,右投げ/右打ち
村*****,2000年12月01日,2000,12,1,168cm,76kg,愛媛県,右投げ/右打ち
堀***,2005年07月16日,2005,7,16,179cm,82kg,兵庫県,右投げ/右打ち
