full_name,birth_date,birth_year,birth_month,birth_day,hometown,height_cm,weight_kg,throw_bat
新****,1977年1月30日,1977,1,30,広島県,189cm,102kg,右投右打
藤****,1976年6月18日,1976,6,18,大阪府,170cm,75kg,右投右打
福****,1975年12月17日,1975,12,17,佐賀県,184cm,82kg,右投両打
新****,1983年8月16日,1983,8,16,広島県,188cm,97kg,右投右打
小****,1985年4月12日,1985,4,12,奈良県,175cm,85kg,右投右打
赤****,1982年9月6日,1982,9,6,京都府,182cm,70kg,右投右打
菊****,1975年3月7日,1975,3,7,神奈川県,185cm,90kg,左投左打
石****,1977年9月14日,1977,9,14,千葉県,180cm,100kg,左投左打
石****,1979年9月7日,1979,9,7,岐阜県,177cm,90kg,右投右打
高***,1967年4月16日,1967,4,16,福岡県,176cm,72kg,右投左打
倉***,1975年7月27日,1975,7,27,京都府,179cm,90kg,右投右打
東****,1980年8月21日,1980,8,21,福井県,171cm,75kg,右投左打
迎****,1981年12月22日,1981,12,22,佐賀県,180cm,81kg,右投右打
三***,1993年6月7日,1993,6,7,福岡県,174cm,84kg,右投右打
廣***,1979年3月29日,1979,3,29,大分県,181cm,90kg,右投右打
永****,1980年12月14日,1980,12,14,広島県,188cm,98kg,右投右打
野****,1989年6月24日,1989,6,24,岡山県,177cm,85kg,右投右打
畝***,1964年6月21日,1964,6,21,広島県,183cm,92kg,左投左打
朝****,1976年7月29日,1976,7,29,福岡県,183cm,82kg,右投右打
小****,1974年1月29日,1974,1,29,新潟県,181cm,90kg,右投右打
齊****,2003年12月7日,2003,12,7,兵庫県,183cm,90kg,右投右打
森****,1998年6月15日,1998,6,15,和歌山県,175cm,78kg,左投左打
大*****,1991年6月17日,1991,6,17,長崎県,188cm,94kg,右投右打
森***,1998年1月1日,1998,1,1,鳥取県,177cm,86kg,左投左打
常*****,2001年9月18日,2001,9,18,大分県,180cm,82kg,右投右打
森****,1997年8月25日,1997,8,25,大分県,181cm,81kg,右投右打
床****,1995年3月1日,1995,3,1,兵庫県,181cm,94kg,左投左打
栗****,1996年7月9日,1996,7,9,愛知県,177cm,88kg,右投右打
中****,1992年8月10日,1992,8,10,鹿児島県,187cm,101kg,右投右打
髙***,2001年7月26日,2001,7,26,愛媛県,179cm,89kg,左投左打
髙***,2001年7月26日,2001,7,26,愛媛県,179cm,89kg,左投左打
益****,1998年10月6日,1998,10,6,福岡県,174cm,86kg,右投右打
佐*****,2002年11月1日,2002,11,1,宮城県,179cm,88kg,左投左打
ケ****,1995年6月5日,1995,6,5,アメリカ,190cm,98kg,右投右打
滝****,2001年12月28日,2001,12,28,北海道,183cm,89kg,左投左打
高****,1998年9月27日,1998,9,27,埼玉県,182cm,91kg,左投左打
工****,2003年9月29日,2003,9,29,北海道,175cm,87kg,右投右打
塹****,1997年2月21日,1997,2,21,香川県,178cm,89kg,左投左打
赤****,2003年10月5日,2003,10,5,大阪府,191cm,86kg,右投右打
長*****,1998年7月29日,1998,7,29,愛知県,184cm,90kg,左投左打
鈴****,1997年12月11日,1997,12,11,千葉県,176cm,80kg,右投左打
F******,1998年11月24日,1998,11,24,アメリカ,193cm,84kg,右投右打
島*****,1996年10月14日,1996,10,14,福岡県,180cm,84kg,右投右打
松****,1999年9月18日,1999,9,18,奈良県,178cm,100kg,右投右打
髙****,2004年3月19日,2004,3,19,愛知県,180cm,80kg,右投右打
斉****,2004年5月27日,2004,5,27,北海道,189cm,99kg,右投左打
ア*****,1998年10月2日,1998,10,2,熊本県,196cm,80kg,右投右打
岡***,2002年6月12日,2002,6,12,徳島県,186cm,89kg,右投左打
玉****,2001年4月16日,2001,4,16,福井県,179cm,89kg,左投左打
遠****,1999年4月8日,1999,4,8,茨城県,186cm,90kg,右投右打
菊*****,2007年1月21日,2007,1,21,千葉県,200cm,117kg,右投右打
T****,1994年8月30日,1994,8,30,アメリカ,198cm,118kg,左投左打
日****,2004年9月16日,2004,9,16,宮崎県,183cm,75kg,右投左打
辻***,2004年8月29日,2004,8,29,神奈川県,182cm,88kg,左投左打
杉***,2001年8月28日,2001,8,28,静岡県,188cm,85kg,右投右打
小***,2006年6月20日,2006,6,20,神奈川県,198cm,119kg,右投右打
竹****,2006年11月6日,2006,11,6,福井県,180cm,80kg,左投左打
河***,2001年8月23日,2001,8,23,兵庫県,175cm,87kg,右投右打
杉****,2005年9月23日,2005,9,23,大阪府,175cm,78kg,左投左打
杉****,2005年9月23日,2005,9,23,大阪府,175cm,78kg,左投左打
坂****,1998年5月29日,1998,5,29,千葉県,177cm,91kg,右投左打
石****,1998年2月3日,1998,2,3,兵庫県,173cm,88kg,右投右打
持****,2001年10月26日,2001,10,26,北海道,177cm,91kg,右投左打
清****,2004年7月6日,2004,7,6,群馬県,176cm,92kg,右投左打
髙****,2003年8月12日,2003,8,12,岐阜県,188cm,93kg,右投右打
安****,2001年4月17日,2001,4,17,静岡県,178cm,82kg,右投右打
小****,2004年2月15日,2004,2,15,岡山県,177cm,82kg,右投左打
羽*****,2000年4月19日,2000,4,19,宮崎県,168cm,70kg,右投左打
勝***,2003年6月21日,2003,6,21,大阪府,163㎝,70kg,右投左打
矢****,1998年12月16日,1998,12,16,大阪府,171cm,72kg,右投左打
小****,2000年6月7日,2000,6,7,兵庫県,178cm,92kg,右投左打
堂****,1991年8月17日,1991,8,17,愛知県,184cm,94kg,右投右打
佐****,2002年12月24日,2002,12,24,岐阜県,178cm,86kg,右投右打
菊****,1990年3月11日,1990,3,11,東京都,171cm,71kg,右投右打
林***,2000年11月16日,2000,11,16,和歌山県,181cm,100kg,右投左打
渡****,2002年7月7日,2002,7,7,東京都,182cm,100kg,右投右打
西****,2007年12月28日,2007,12,28,三重県,184cm,77kg,右投左打
仲****,2005年7月31日,2005,7,31,沖縄県,187cm,103kg,右投右打
内****,2004年9月22日,2004,9,22,長野県,183cm,97kg,右投右打
辰*****,2000年11月24日,2000,11,24,福岡県,176cm,67kg,右投右打
前****,2003年4月4日,2003,4,4,京都府,176cm,66kg,右投右打
佐****,2001年5月24日,2001,5,24,愛知県,182cm,93kg,右投左打
E*****,1998年8月17日,1998,8,17,ドミニカ共和国,190cm,106kg,右投右打
二****,2002年10月21日,2002,10,21,静岡県,180cm,78kg,右投右打
岸****,2002年1月1日,2002,1,1,長崎県,168cm,70kg,右投左打
M*****,2002年2月1日,2002,2,1,ドミニカ共和国,191cm,124kg,右投右打
秋****,1988年4月16日,1988,4,16,神奈川県,186cm,86kg,右投左打
野****,1993年1月28日,1993,1,28,兵庫県,182cm,87kg,右投左打
平***,2004年3月31日,2004,3,31,北海道,187cm,93kg,右投両打
末****,1996年5月27日,1996,5,27,香川県,188cm,108kg,右投右打
久***,2000年9月29日,2000,9,29,大阪府,181cm,83kg,右投右打
大***,1996年8月31日,1996,8,31,大阪府,179cm,84kg,右投左打
田****,2003年8月25日,2003,8,25,京都府,178cm,95kg,左投左打
S******,1998年3月6日,1998,3,6,ドミニカ共和国,180cm,92kg,右投右打
中****,1999年6月6日,1999,6,6,広島県,181cm,89kg,右投右打
中****,2000年4月9日,2000,4,9,福岡県,177cm,87kg,右投左打
名****,2000年6月24日,2000,6,24,広島県,182cm,82kg,右投右打
N*****,2000年10月27日,2000,10,27,ドミニカ共和国,191cm,105kg,右投右打
