full_name,birth_date,birth_year,birth_month,birth_day,height_weight,height_cm,weight_kg,hometown,throw_bat
中****,2003年12月18日,2003,12,18,182cm　92kg,182cm,92kg,奈良,右投右打
橋****,1998年1月8日,1998,1,8,180cm　80kg,180cm,80kg,福井,左投左打
草***,2001年11月21日,2001,11,21,182cm　77kg,182cm,77kg,岡山,右投右打
櫻*****,2003年7月21日,2003,7,21,175cm　68kg,175cm,68kg,兵庫,右投右打
柳***,1994年4月22日,1994,4,22,180cm　85kg,180cm,85kg,宮崎,右投右打
髙****,2002年8月9日,2002,8,9,186cm　86kg,186cm,86kg,愛知,右投右打
涌****,1986年6月21日,1986,6,21,185cm　85kg,185cm,85kg,千葉,右投右打
金****,2003年2月1日,2003,2,1,177cm　78kg,177cm,78kg,兵庫,左投左打
大****,1988年9月26日,1988,9,26,184cm　85kg,184cm,85kg,京都,左投左打
仲****,2001年2月15日,2001,2,15,177cm　83kg,177cm,83kg,沖縄,右投右打
ア*********,1995年9月26日,1995,9,26,188cm　94kg,188cm,94kg,ドミニカ共和国,右投左打
松*****,2003年2月24日,2003,2,24,180cm　85kg,180cm,85kg,大阪,右投右打
根***,2000年4月19日,2000,4,19,177cm　85kg,177cm,85kg,岐阜,右投左打
伊****,2000年11月19日,2000,11,19,176cm　83kg,176cm,83kg,福島,右投左打
福***,1992年6月16日,1992,6,16,181cm　98kg,181cm,98kg,兵庫,左投左打
三****,2004年6月14日,2004,6,14,173cm　75kg,173cm,75kg,愛媛,右投左打
谷***,1985年7月9日,1985,7,9,180cm　78kg,180cm,78kg,徳島,右投右打
中***,1973年4月23日,1973,4,23,173cm　80kg,173cm,80kg,大阪,右投右打
渡****,1970年6月29日,1970,6,29,183cm　90kg,183cm,90kg,神奈川,右投右打
福****,1988年7月23日,1988,7,23,181cm　90kg,181cm,90kg,神奈川,右投右打
藤****,1962年7月7日,1962,7,7,181cm　90kg,181cm,90kg,広島,右投左打
前****,1979年9月14日,1979,9,14,179cm　80kg,179cm,80kg,香川,右投右打
落****,1969年7月25日,1969,7,25,178cm　87kg,178cm,87kg,栃木,右投右打
小****,1980年8月21日,1980,8,21,181cm　92kg,181cm,92kg,群馬,左投左打
高****,1962年9月8日,1962,9,8,189cm　97kg,189cm,97kg,秋田,右投右打
田****,1989年12月21日,1989,12,21,181cm　87kg,181cm,87kg,愛知,右投右打
飯****,1979年7月13日,1979,7,13,178cm　79kg,178cm,79kg,鹿児島,右投右打
大****,1972年1月13日,1972,1,13,182cm　88kg,182cm,88kg,千葉,右投右打
平****,1988年3月23日,1988,3,23,177cm　105kg,177cm,105kg,大阪,右投右打
森****,1988年8月11日,1988,8,11,178cm　73kg,178cm,73kg,愛知,右投右打
堂****,1988年9月23日,1988,9,23,184cm　88kg,184cm,88kg,愛知,右投右打
小****,1980年5月15日,1980,5,15,182cm　95kg,182cm,95kg,神奈川,右投右打
松****,1973年12月26日,1973,12,26,183cm　100kg,183cm,100kg,熊本,左投左打
大****,1987年1月13日,1987,1,13,177cm　83kg,177cm,83kg,岐阜,右投右打
浅****,1984年10月22日,1984,10,22,182cm　78kg,182cm,78kg,愛知,右投右打
