full_name,birth_date,birth_year,birth_month,birth_day,height_cm,weight_kg,hometown,throw_bat
岸***,1984年12月04日,1984,12,4,180cm,77kg,宮城県,右投げ/右打ち
藤****,2003年11月20日,2003,11,20,178cm,73kg,三重県,右投げ/右打ち
ロ***********,1999年11月07日,1999,11,7,185cm,92kg,ドミニカ共和国,右投げ/右打ち
古***,2001年08月18日,2001,8,18,182cm,75kg,神奈川県,左投げ/左打ち
前****,1988年04月11日,1988,4,11,185cm,83kg,大阪府,右投げ/右打ち
荘****,2000年10月13日,2000,10,13,189cm,86kg,新潟県,右投げ/右打ち
伊***,2003年08月24日,2003,8,24,177cm,85kg,秋田県,右投げ/右打ち
早****,1998年07月06日,1998,7,6,180cm,76kg,千葉県,左投げ/左打ち
ホ*******,1991年09月12日,1991,9,12,188cm,94kg,ドミニカ共和国,右投げ/右打ち
中****,2002年01月23日,2002,1,23,175cm,85kg,山梨県,右投げ/右打ち
酒****,1993年01月02日,1993,1,2,178cm,80kg,大阪府,右投げ/右打ち
田****,2000年09月21日,2000,9,21,189cm,85kg,大阪府,右投げ/右打ち
渡****,2000年10月29日,2000,10,29,182cm,90kg,福岡県,右投げ/右打ち
江****,2000年08月03日,2000,8,3,186cm,93kg,福岡県,右投げ/右打ち
加****,1991年11月25日,1991,11,25,185cm,90kg,宮崎県,右投げ/右打ち
宋***,1992年09月06日,1992,9,6,185cm,92kg,台湾,右投げ/左打ち
鷹****,1973年08月10日,1973,8,10,175cm,84kg,東京都,右投げ/右打ち
真*****,1960年05月03日,1960,5,3,172cm,74kg,沖縄県,右投げ/右打ち
牧****,1982年06月03日,1982,6,3,182cm,78kg,福井県,右投げ/右打ち
川****,1970年04月10日,1970,4,10,179cm,77kg,鹿児島県,右投げ/右打ち
渡****,1979年04月03日,1979,4,3,183cm,85kg,大阪府,右投げ/右打ち
森****,1984年07月15日,1984,7,15,174cm,71kg,大阪府,右投げ/左打ち
下****,1994年04月15日,1994,4,15,186cm,85kg,山形県,右投げ/右打ち
井***,1983年11月23日,1983,11,23,178cm,83kg,群馬県,右投げ/右打ち
塩****,1988年09月06日,1988,9,6,182cm,77kg,大阪府,左投げ/左打ち
青****,1983年08月12日,1983,8,12,180cm,80kg,北海道,右投げ/右打ち
石***,1971年08月25日,1971,8,25,180cm,85kg,神奈川県,右投げ/右打ち
小****,1980年11月26日,1980,11,26,188cm,96kg,埼玉県,右投げ/右打ち
久****,1980年05月23日,1980,5,23,177cm,78kg,福岡県,右投げ/右打ち
山****,1977年05月19日,1977,5,19,186cm,90kg,大阪府,右投げ/右打ち
雄*,1984年06月25日,1984,6,25,174cm,85kg,神奈川県,左投げ/左打ち
下****,1984年11月22日,1984,11,22,179cm,81kg,宮崎県,左投げ/左打ち
渡****,1963年08月09日,1963,8,9,180cm,74kg,新潟県,右投げ/左打ち
塩****,1983年03月15日,1983,3,15,179cm,84kg,兵庫県,右投げ/右打ち
渡****,1980年10月15日,1980,10,15,173cm,73kg,茨城県,右投げ/右打ち
三***,1977年04月25日,1977,4,25,180cm,75kg,大阪府,右投げ/両打ち
大****,2004年02月02日,2004,2,2,190cm,110kg,千葉県,右投げ/右打ち
幌****,2004年08月08日,2004,8,8,177cm,74kg,北海道,右投げ/左打ち
前****,2003年11月19日,2003,11,19,182cm,98kg,静岡県,右投げ/右打ち
吉****,2003年10月27日,2003,10,27,186cm,78kg,千葉県,右投げ/右打ち
小****,1996年08月03日,1996,8,3,178cm,85kg,岡山県,右投げ/左打ち
武****,2001年06月15日,2001,6,15,178cm,73kg,福岡県,左投げ/左打ち
阪****,2003年11月01日,2003,11,1,180cm,90kg,兵庫県,右投げ/左打ち
佐****,1998年09月03日,1998,9,3,178cm,85kg,兵庫県,右投げ/右打ち
吉***,2002年08月16日,2002,8,16,180cm,89kg,愛知県,右投げ/左打ち
カ**********,1998年05月22日,1998,5,22,203cm,113kg,アメリカ合衆国,右投げ/右打ち
中****,2001年06月04日,2001,6,4,180cm,78kg,和歌山県,右投げ/左打ち
田****,1994年08月08日,1994,8,8,181cm,75kg,福岡県,右投げ/両打ち
オ*********,1998年01月10日,1998,1,10,196cm,108kg,ドミニカ共和国,右投げ/右打ち
辰****,1996年12月27日,1996,12,27,180cm,74kg,兵庫県,右投げ/左打ち
金****,2004年01月18日,2004,1,18,186cm,100kg,東京都,右投げ/右打ち
岸****,2007年01月30日,2007,1,30,180cm,74kg,奈良県,右投げ/右打ち
陽***,2005年01月23日,2005,1,23,174cm,75kg,台湾,右投げ/左打ち
小*****,2003年04月30日,2003,4,30,173cm,83kg,福岡県,右投げ/右打ち
青****,2005年07月26日,2005,7,26,180cm,85kg,富山県,右投げ/右打ち
入****,2002年06月06日,2002,6,6,185cm,83kg,大阪府,右投げ/右打ち
ワ*****,2005年10月14日,2005,10,14,178cm,76kg,沖縄県,右投げ/右打ち
平****,1998年07月09日,1998,7,9,170cm,78kg,沖縄県,右投げ/右打ち
伊*****,1996年08月30日,1996,8,30,181cm,95kg,三重県,右投げ/右打ち
渡****,1997年01月08日,1997,1,8,180cm,79kg,神奈川県,右投げ/左打ち
繁***,2003年04月25日,2003,4,25,174cm,88kg,福岡県,右投げ/右打ち
黒****,2001年04月17日,2001,4,17,182cm,86kg,奈良県,右投げ/左打ち
ル******,1991年02月13日,1991,2,13,188cm,117kg,アメリカ合衆国,右投げ/右打ち
鈴****,1989年08月18日,1989,8,18,175cm,79kg,静岡県,右投げ/左打ち
村****,1997年10月06日,1997,10,6,180cm,73kg,大阪府,右投げ/右打ち
浅****,1990年11月12日,1990,11,12,182cm,90kg,大阪府,右投げ/右打ち
宗***,2003年02月27日,2003,2,27,175cm,79kg,広島県,右投げ/左打ち
小*****,1995年09月28日,1995,9,28,168cm,69kg,兵庫県,右投げ/左打ち
島****,2002年02月22日,2002,2,22,183cm,93kg,大阪府,右投げ/左打ち
水***,2001年07月05日,2001,7,5,172cm,75kg,兵庫県,右投げ/右打ち
大****,2007年04月23日,2007,4,23,178cm,85kg,福島県,右投げ/左打ち
石***,1999年03月08日,1999,3,8,172cm,96kg,京都府,右投げ/右打ち
堀****,1997年04月15日,1997,4,15,174cm,82kg,静岡県,右投げ/左打ち
Y***,2000年03月03日,2000,3,3,185cm,105kg,兵庫県,右投げ/左打ち
田****,1992年08月27日,1992,8,27,178cm,85kg,京都府,右投げ/左打ち
伊***,1989年04月23日,1989,4,23,180cm,88kg,愛知県,右投げ/右打ち
太***,1996年10月14日,1996,10,14,178cm,76kg,岡山県,右投げ/右打ち
蕭**,2006年01月04日,2006,1,4,197cm,98kg,台湾,右投げ/右打ち
中****,2003年08月06日,2003,8,6,183cm,80kg,栃木県,右投げ/左打ち
松****,2002年02月26日,2002,2,26,186cm,74kg,大阪府,右投げ/右打ち
德****,2002年04月11日,2002,4,11,177cm,87kg,徳島県,左投げ/左打ち
伊****,2007年10月27日,2007,10,27,174cm,76kg,大分県,左投げ/左打ち
柴****,1997年11月07日,1997,11,7,180cm,94kg,東京都,右投げ/右打ち
内***,2002年04月24日,2002,4,24,190cm,88kg,大阪府,右投げ/左打ち
大****,2006年03月09日,2006,3,9,191cm,77kg,宮城県,右投げ/右打ち
今****,1995年05月11日,1995,5,11,178cm,86kg,宮城県,右投げ/右打ち
林***,2001年10月29日,2001,10,29,173cm,73kg,京都府,左投げ/左打ち
西****,1996年11月14日,1996,11,14,183cm,83kg,大阪府,右投げ/右打ち
古****,2004年09月03日,2004,9,3,181cm,81kg,福岡県,左投げ/左打ち
泰***,2003年11月11日,2003,11,11,172cm,82kg,鹿児島県,左投げ/右打ち
辛***,1990年10月18日,1990,10,18,173cm,72kg,福岡県,左投げ/左打ち
瀧****,1994年12月20日,1994,12,20,180cm,93kg,滋賀県,右投げ/右打ち
鈴****,1996年08月19日,1996,8,19,185cm,82kg,神奈川県,左投げ/左打ち
日****,2005年07月06日,2005,7,6,190cm,105kg,東京都,右投げ/右打ち
坂****,2005年04月05日,2005,4,5,186cm,88kg,兵庫県,右投げ/右打ち
津*****,1997年10月10日,1997,10,10,177cm,86kg,千葉県,右投げ/右打ち
西****,1999年06月21日,1999,6,21,184cm,88kg,兵庫県,右投げ/左打ち
藤***,1996年10月03日,1996,10,3,176cm,80kg,神奈川県,左投げ/左打ち
藤****,1998年09月21日,1998,9,21,185cm,85kg,千葉県,右投げ/右打ち
九***,1999年11月05日,1999,11,5,177cm,80kg,滋賀県,右投げ/左打ち
