full_name,birth_date,birth_year,birth_month,birth_day,height_cm,weight_kg,hometown,throw_bat
矢****,2000年8月2日,2000,8,2,173cm,72kg,東京都,左投げ/左打ち
生****,1995年2月19日,1995,2,19,176cm,95kg,茨城県,右投げ/右打ち
加****,1992年6月3日,1992,6,3,182cm,93kg,千葉県,左投げ/左打ち
北****,1999年4月10日,1999,4,10,182cm,87kg,京都府,右投げ/右打ち
達***,2004年3月27日,2004,3,27,194cm,101kg,大阪府,右投げ/右打ち
伊****,1997年8月31日,1997,8,31,176cm,85kg,北海道,右投げ/左打ち
山****,1992年9月9日,1992,9,9,188cm,99kg,埼玉県,左投げ/左打ち
玉****,1992年6月16日,1992,6,16,178cm,80kg,北海道,右投げ/右打ち
上****,1994年3月29日,1994,3,29,191cm,100kg,沖縄県,左投げ/左打ち
杉****,1992年2月25日,1992,2,25,190cm,90kg,北海道,右投げ/右打ち
金****,2000年8月29日,2000,8,29,176cm,89kg,沖縄県,右投げ/右打ち
宮****,1985年6月2日,1985,6,2,180cm,81kg,兵庫県,左投げ/左打ち
田****,1994年7月19日,1994,7,19,188cm,96kg,神奈川県,右投げ/右打ち
大****,2003年10月28日,2003,10,28,178cm,70kg,神奈川県,右投げ/左打ち
河****,1998年5月30日,1998,5,30,175cm,92kg,徳島県,左投げ/左打ち
細****,2002年2月26日,2002,2,26,180cm,88kg,東京都,左投げ/左打ち
江****,1969年5月15日,1969,5,15,181cm,80kg,佐賀県,右投げ/右打ち
金****,1983年11月8日,1983,11,8,180cm,86kg,新潟県,右投げ/左打ち
稲****,1972年8月3日,1972,8,3,185cm,97kg,愛知県,左投げ/左打ち
佐****,1978年6月13日,1978,6,13,177cm,88kg,神奈川県,右投げ/右打ち
谷****,1991年2月3日,1991,2,3,177cm,80kg,石川県,右投げ/右打ち
岩***,1981年4月14日,1981,4,14,177cm,80kg,千葉県,右投げ/右打ち
浦****,1989年7月22日,1989,7,22,178cm,70kg,静岡県,右投げ/右打ち
加****,1978年3月24日,1978,3,24,188cm,83kg,山形県,右投げ/右打ち
横****,1993年5月27日,1993,5,27,175cm,94kg,東京都,右投げ/右打ち
森****,1981年1月31日,1981,1,31,185cm,81kg,東京都,右投げ/右打ち
松****,1984年7月3日,1984,7,3,168cm,62kg,山梨県,左投げ/左打ち
清****,1964年7月7日,1964,7,7,173cm,80kg,島根県,右投げ/右打ち
