full_name,birth_date,birth_year,birth_month,birth_day,height_cm,weight_kg,hometown,throw_bat
阿*****,1979.3.20,1979,3,20,180cm,88kg,千葉県,右投左打
橋****,1965.11.4,1965,11,4,181cm,90kg,千葉県,右投右打
川****,1964.9.27,1964,9,27,176cm,77kg,岡山県,右投右打
村****,1974.4.24,1974,4,24,176cm,83kg,長崎県,右投右打
ウ****,1987.1.16,1987,1,16,178cm,100kg,アメリカ合衆国,右投右打
李***,1976.8.18,1976,8,18,183cm,90kg,韓国,左投左打
吉****,1992.8.21,1992,8,21,175cm,78kg,大阪府,右投右打
亀****,1982.7.28,1982,7,28,179cm,81kg,奈良県,右投左打
杉****,1980.10.30,1980,10,30,175cm,85kg,福岡県,左投左打
内****,1982.4.29,1982,4,29,186cm,92kg,京都府,左投左打
實****,1981.1.18,1981,1,18,177cm,89kg,佐賀県,右投右打
石****,1970.8.25,1970,8,25,174cm,82kg,栃木県,右投左打
久****,1958.4.8,1958,4,8,178cm,84kg,福岡県,右投右打
京***,2004.2.6,2004,2,6,190cm,91kg,大阪府,右投右打
坂****,2002.8.31,2002,8,31,173cm,76kg,福岡県,右投右打
川*****,2002.5.21,2002,5,21,168cm,70kg,岩手県,右投右打
笹****,2004.2.9,2004,2,9,180cm,86kg,長野県,右投右打
舟****,2001.8.23,2001,8,23,,,,
フ***,2002.9.7,2002,9,7,200cm,127kg,ドミニカ共和国,左投左打
テ**,2004.9.25,2004,9,25,194cm,106kg,ドミニカ共和国,右投右打
相****,2004.5.28,2004,5,28,178cm,84kg,埼玉県,右投右打
知****,2000.4.27,2000,4,27,181cm,85kg,沖縄県,左投左打
鈴****,1999.4.27,1999,4,27,173cm,73kg,北海道,右投右打
三****,2004.5.10,2004,5,10,182cm,93kg,東京都,左投左打
若****,1998.4.13,1998,4,13,178cm,83kg,北海道,右投右打
浅****,2004.11.24,2004,11,24,172cm,89kg,香川県,右投右打
佐*****,1999.11.6,1999,11,6,174cm,80kg,東京都,右投左打
中****,2002.4.12,2002,4,12,182cm,90kg,愛知県,右投左打
皆****,2003.4.30,2003,4,30,182cm,88kg,群馬県,右投左打
岡****,2000.1.19,2000,1,19,184cm,86kg,広島県,右投左打
キ****,1997.5.3,1997,5,3,188cm,92kg,アメリカ合衆国,右投左打
萩****,2000.12.28,2000,12,28,180cm,85kg,熊本県,右投右打
松***,1993.8.11,1993,8,11,180cm,83kg,埼玉県,右投右打
丸***,1989.4.11,1989,4,11,177cm,94kg,千葉県,右投左打
平****,2004.3.16,2004,3,16,185cm,82kg,広島県,右投右打
北****,2005.2.20,2005,2,20,174cm,78kg,群馬県,右投右打
竹****,2006.11.12,2006,11,12,183cm,115kg,島根県,右投右打
宇*****,2004.6.23,2004,6,23,175cm,70kg,愛媛県,右投左打
田****,2005.6.8,2005,6,8,180cm,90kg,神奈川県,右投右打
