full_name,birth_date,birth_year,birth_month,birth_day,height_cm,weight_kg,hometown,throw_bat
カ***************,1999年11月02日,1999,11,2,198cm,101kg,米国フロリダ州,右投げ/右打ち
上****,1994年02月06日,1994,2,6,188cm,89kg,千葉県,右投げ/右打ち
津****,1998年01月21日,1998,1,21,176cm,86kg,和歌山県,右投げ/右打ち
稲****,2004年02月25日,2004,2,25,184cm,90kg,山口県,右投げ/右打ち
東***,1990年06月20日,1990,6,20,182cm,81kg,沖縄県,右投げ/右打ち
徐***,2000年11月01日,2000,11,1,180cm,76kg,台湾,右投げ/右打ち
大****,1999年01月13日,1999,1,13,175cm,67kg,福岡県,右投げ/左打ち
村****,2007年02月20日,2007,2,20,179cm,76kg,兵庫県,右投げ/両打ち
鈴****,2003年08月31日,2003,8,31,175cm,86kg,滋賀県,右投げ/右打ち
岩****,2001年07月30日,2001,7,30,181cm,93kg,愛知県,右投げ/右打ち
安***,2002年05月18日,2002,5,18,177cm,83kg,福岡県,右投げ/右打ち
大****,1999年01月15日,1999,1,15,173cm,79kg,神奈川県,左投げ/左打ち
中****,1996年07月08日,1996,7,8,178cm,84kg,長崎県,左投げ/左打ち
リ*******,1995年12月08日,1995,12,8,178cm,69kg,キューバ共和国,左投げ/左打ち
尾****,1999年05月15日,1999,5,15,182cm,90kg,宮城県,右投げ/左打ち
杉****,1997年12月07日,1997,12,7,192cm,106kg,静岡県,右投げ/右打ち
奈****,1968年05月16日,1968,5,16,166cm,65kg,埼玉県,右投げ/右打ち
井****,1971年04月19日,1971,4,19,178cm,84kg,山梨県,右投げ/右打ち
森***,1965年02月04日,1965,2,4,177cm,80kg,大阪府,右投げ/右打ち
関****,1969年04月01日,1969,4,1,178cm,81kg,東京都,右投げ/左打ち
荒****,1978年08月01日,1978,8,1,178cm,77kg,大分県,右投げ/右打ち
星****,1974年06月18日,1974,6,18,180cm,85kg,新潟県,右投げ/右打ち
川****,1973年06月08日,1973,6,8,173cm,83kg,神奈川県,右投げ/右打ち
中****,1993年01月05日,1993,1,5,187cm,96kg,福岡県,右投げ/右打ち
牧****,1984年11月10日,1984,11,10,177cm,94kg,静岡県,右投げ/右打ち
笹***,1979年11月08日,1979,11,8,175cm,84kg,東京都,右投げ/右打ち
清****,1975年01月09日,1975,1,9,180cm,83kg,群馬県,右投げ/右打ち
高****,1975年11月03日,1975,11,3,174cm,79kg,熊本県,右投げ/右打ち
髙****,1990年05月06日,1990,5,6,176cm,66kg,兵庫県,右投げ/左打ち
大****,1969年10月28日,1969,10,28,186cm,101kg,三重県,右投げ/右打ち
寺****,1983年10月09日,1983,10,9,179cm,85kg,宮崎県,右投げ/右打ち
フ*******,1989年04月18日,1989,4,18,177cm,87kg,ブラジル,右投げ/右打ち
大***,1971年05月20日,1971,5,20,175cm,80kg,宮城,右投げ/右打ち
髙****,1981年11月13日,1981,11,13,178cm,88kg,栃木県,右投げ/左打ち
城****,1985年09月24日,1985,9,24,177cm,80kg,愛知県,右投げ/左打ち
金****,1985年07月23日,1985,7,23,180cm,70kg,千葉県,右投げ/両打ち
森***,1976年10月04日,1976,10,4,180cm,84kg,神奈川県,右投げ/左打ち
奥****,1992年08月14日,1992,8,14,176cm,76kg,大分県,右投げ/右打ち
小****,1976年11月29日,1976,11,29,171cm,73kg,千葉県,左投げ/左打ち
斉****,1977年11月30日,1977,11,30,192cm,94kg,京都府,右投げ/右打ち
細***,1980年01月04日,1980,1,4,183cm,108kg,青森,右投げ/右打ち
大****,1971年07月02日,1971,7,2,176cm,72kg,大阪,右投げ/右打ち
本****,1984年11月19日,1984,11,19,174cm,71kg,福岡県,右投げ/左打ち
長*****,1984年12月22日,1984,12,22,,,山形県,右投げ/左打ち
村****,1972年12月12日,1972,12,12,177cm,78kg,石川県,左投げ/左打ち
中****,1982年05月11日,1982,5,11,180cm,86kg,福岡県,右投げ/右打ち
若*****,1969年08月05日,1969,8,5,184cm,90kg,神奈川県,右投げ/右打ち
倉****,1974年09月15日,1974,9,15,177cm,95kg,三重県,右投げ/右打ち
小*****,1971年10月08日,1971,10,8,180cm,82kg,和歌山県,右投げ/右打ち
ホ******,2007年03月27日,2007,3,27,185cm,82kg,ドミニカ共和国,右投げ/右打ち
佐****,2004年04月07日,2004,4,7,184cm,71kg,東京都,右投げ/右打ち
重****,2000年04月12日,2000,4,12,187cm,97kg,福岡県,右投げ/右打ち
エ*************,2007年11月07日,2007,11,7,190cm,111kg,ドミニカ共和国,右投げ/右打ち
生********,2000年07月11日,2000,7,11,184cm,103kg,福岡県,右投げ/左打ち
鈴****,2001年04月17日,2001,4,17,183cm,92kg,神奈川県,右投げ/右打ち
木****,2006年08月06日,2006,8,6,179cm,66kg,沖縄県,右投げ/左打ち
漁****,2002年07月16日,2002,7,16,183cm,94kg,岡山県,右投げ/右打ち
大****,1999年09月16日,1999,9,16,173cm,84kg,山形県,左投げ/左打ち
山****,1999年08月06日,1999,8,6,182cm,89kg,東京都,右投げ/左打ち
川****,1999年08月13日,1999,8,13,182cm,90kg,北海道,右投げ/左打ち
緒****,1998年09月22日,1998,9,22,175cm,71kg,宮崎県,右投げ/左打ち
笹****,2002年05月31日,2002,5,31,194cm,96kg,神奈川県,左投げ/左打ち
柳***,1997年04月20日,1997,4,20,180cm,78kg,茨城県,右投げ/左打ち
正****,1999年11月05日,1999,11,5,182cm,89kg,東京都,右投げ/右打ち
周****,1996年02月10日,1996,2,10,180cm,74kg,群馬県,右投げ/左打ち
柳****,1988年10月09日,1988,10,9,187cm,91kg,広島県,右投げ/左打ち
近****,1993年08月09日,1993,8,9,171cm,87kg,千葉県,右投げ/左打ち
デ**********,2007年12月02日,2007,12,2,185cm,82kg,ドミニカ共和国,右投げ/右打ち
ジ********,2007年09月26日,2007,9,26,178cm,70kg,キューバ,右投げ/右打ち
西****,2000年06月20日,2000,6,20,167cm,70kg,三重県,右投げ/左打ち
山****,2004年07月07日,2004,7,7,175cm,74kg,福岡県,右投げ/右打ち
大****,2007年07月02日,2007,7,2,177cm,73kg,静岡県,右投げ/右打ち
江***,2007年09月18日,2007,9,18,168cm,67kg,愛知県,右投げ/左打ち
中****,2005年07月03日,2005,7,3,180cm,82kg,東京都,右投げ/右打ち
佐*****,2005年11月03日,2005,11,3,183cm,102kg,福岡県,右投げ/左打ち
広****,2007年02月22日,2007,2,22,180cm,76kg,千葉県,右投げ/右打ち
桑****,2002年05月29日,2002,5,29,176cm,79kg,熊本県,右投げ/右打ち
藤****,2003年08月23日,2003,8,23,181cm,79kg,福岡県,右投げ/右打ち
ザ*************,2006年05月29日,2006,5,29,178cm,84kg,静岡県,右投げ/右打ち
野***,1996年12月01日,1996,12,1,174cm,84kg,兵庫県,右投げ/右打ち
石****,2006年06月10日,2006,6,10,176cm,75kg,滋賀県,右投げ/左打ち
髙****,2001年12月21日,2001,12,21,186cm,93kg,茨城県,右投げ/右打ち
秋****,2002年09月17日,2002,9,17,201cm,107kg,千葉県,右投げ/左打ち
宇*****,2006年07月05日,2006,7,5,178cm,85kg,千葉県,右投げ/右打ち
井****,2003年01月28日,2003,1,28,182cm,91kg,大阪府,右投げ/右打ち
イ******,2004年09月02日,2004,9,2,186cm,83kg,愛知県,右投げ/左打ち
廣****,2001年04月07日,2001,4,7,181cm,88kg,東京都,右投げ/右打ち
庄****,2002年10月02日,2002,10,2,176cm,74kg,神奈川県,右投げ/左打ち
栗****,1996年07月04日,1996,7,4,178cm,84kg,福井県,右投げ/左打ち
牧****,1992年10月15日,1992,10,15,172cm,74kg,福岡県,右投げ/左打ち
中***,1989年11月05日,1989,11,5,175cm,81kg,埼玉県,左投げ/左打ち
今****,1991年07月15日,1991,7,15,172cm,76kg,大分県,右投げ/右打ち
山****,1991年11月23日,1991,11,23,176cm,112kg,沖縄県,右投げ/右打ち
ジ********,1998年07月27日,1998,7,27,178cm,89kg,コロンビア,右投げ/右打ち
川***,1997年09月15日,1997,9,15,176cm,73kg,大分県,右投げ/左打ち
盛****,2004年05月27日,2004,5,27,187cm,104kg,沖縄県,右投げ/右打ち
池****,2007年05月12日,2007,5,12,184cm,91kg,新潟県,右投げ/右打ち
牧****,2002年07月13日,2002,7,13,176cm,81kg,神奈川県,右投げ/左打ち
大***,1999年07月23日,1999,7,23,181cm,86kg,大阪府,右投げ/右打ち
藤*****,2005年06月03日,2005,6,3,170cm,78kg,福岡県,右投げ/右打ち
海****,1997年07月15日,1997,7,15,174cm,84kg,岡山県,右投げ/右打ち
石*****,2001年06月07日,2001,6,7,182cm,92kg,秋田県,右投げ/右打ち
谷*****,1997年04月16日,1997,4,16,174cm,89kg,愛知県,右投げ/左打ち
嶺****,1991年06月04日,1991,6,4,176cm,87kg,沖縄県,右投げ/右打ち
渡***,2000年09月24日,2000,9,24,187cm,88kg,熊本県,右投げ/左打ち
ダ*******,2005年11月12日,2005,11,12,186cm,81kg,キューバ共和国,左投げ/左打ち
飛****,2005年03月13日,2005,3,13,185cm,91kg,神奈川県,右投げ/左打ち
北********,2004年03月10日,2004,3,10,180cm,83kg,沖縄県,右投げ/右打ち
佐*****,2005年01月02日,2005,1,2,182cm,82kg,東京都,右投げ/右打ち
岡****,2004年07月10日,2004,7,10,177cm,81kg,兵庫県,右投げ/右打ち
内****,2004年07月28日,2004,7,28,187cm,93kg,福岡県,右投げ/右打ち
⾧****,2005年08月08日,2005,8,8,180cm,74kg,京都府,左投げ/左打ち
田****,2002年11月26日,2002,11,26,187cm,89kg,大阪府,右投げ/左打ち
ル********,2001年08月18日,2001,8,18,182cm,90kg,ドミニカ共和国,右投げ/右打ち
長****,2007年06月11日,2007,6,11,187cm,85kg,大阪府,右投げ/右打ち
張***,2005年11月14日,2005,11,14,179cm,82kg,台湾,右投げ/右打ち
塩***,2006年05月18日,2006,5,18,185cm,84kg,石川県,右投げ/右打ち
熊****,2006年10月17日,2006,10,17,186cm,79kg,宮城県,左投げ/左打ち
山****,2003年11月06日,2003,11,6,185cm,89kg,大阪府,右投げ/左打ち
大****,2003年06月28日,2003,6,28,178cm,80kg,愛知県,右投げ/左打ち
ハ***************,2004年01月17日,2004,1,17,192cm,86kg,東京都,右投げ/右打ち
藤****,2005年12月26日,2005,12,26,177cm,73kg,福岡県,右投げ/右打ち
澤*****,2000年03月08日,2000,3,8,179cm,87kg,東京都,右投げ/右打ち
岡*****,2002年06月04日,2002,6,4,186cm,99kg,大阪府,右投げ/右打ち
井*****,2004年02月09日,2004,2,9,188cm,91kg,福岡県,右投げ/右打ち
相****,2002年06月16日,2002,6,16,192cm,96kg,埼玉県,右投げ/右打ち
津******,2006年07月24日,2006,7,24,178cm,89kg,沖縄県,右投げ/右打ち
大****,1999年08月22日,1999,8,22,186cm,90kg,福島県,右投げ/左打ち
ア************,2004年06月26日,2004,6,26,185cm,79kg,メキシコ合衆国,左投げ/左打ち
村****,2001年08月31日,2001,8,31,179cm,90kg,千葉県,右投げ/右打ち
川****,1999年10月26日,1999,10,26,187cm,87kg,奈良県,右投げ/右打ち
河*****,2006年08月20日,2006,8,20,190cm,83kg,宮崎県,左投げ/左打ち
宮****,2001年09月27日,2001,9,27,182cm,84kg,東京都,右投げ/右打ち
長*****,1999年08月09日,1999,8,9,178cm,88kg,埼玉県,左投げ/左打ち
岩****,2003年03月11日,2003,3,11,177cm,85kg,大阪府,右投げ/右打ち
木***,2000年07月02日,2000,7,2,173cm,77kg,奈良県,右投げ/左打ち
松****,1996年04月14日,1996,4,14,182cm,84kg,神奈川県,右投げ/左打ち
上*****,1996年08月31日,1996,8,31,181cm,89kg,京都府,右投げ/右打ち
ダ*************,1996年12月17日,1996,12,17,188cm,115kg,ベネズエラ・ボリバル共和国,左投げ/左打ち
大*****,2004年08月06日,2004,8,6,176cm,68kg,鹿児島県,左投げ/左打ち
木****,2003年09月12日,2003,9,12,180cm,83kg,北海道,左投げ/左打ち
ロ*******,1995年02月07日,1995,2,7,188cm,104kg,メキシコ,右投げ/右打ち
大***,2002年03月27日,2002,3,27,179cm,82kg,栃木県,右投げ/右打ち
前***,2000年06月04日,2000,6,4,189cm,96kg,沖縄県,左投げ/左打ち
相****,2003年09月24日,2003,9,24,182cm,73kg,愛知県,右投げ/右打ち
松***,2001年02月24日,2001,2,24,181cm,90kg,大阪府,左投げ/左打ち
藤****,1996年07月29日,1996,7,29,183cm,87kg,岡山県,右投げ/左打ち
大****,1997年12月14日,1997,12,14,185cm,84kg,茨城県,左投げ/左打ち
伊****,1997年01月14日,1997,1,14,179cm,78kg,東京都,右投げ/右打ち
前****,2005年08月04日,2005,8,4,180cm,86kg,滋賀県,左投げ/左打ち
