full_name,birth_date,birth_year,birth_month,birth_day,height_cm,weight_kg,hometown,throw_bat
上****,2001年11月15日,2001,11,15,183cm,88kg,三重県,右投げ/右打ち
渡*****,2000年09月21日,2000,9,21,191cm,103kg,埼玉県,右投げ/右打ち
高****,1997年02月03日,1997,2,3,190cm,105kg,群馬県,右投げ/右打ち
與****,1995年09月15日,1995,9,15,173cm,80kg,沖縄県,右投げ/右打ち
隅*****,1999年08月20日,1999,8,20,177cm,84kg,長崎県,左投げ/左打ち
松***,1996年11月28日,1996,11,28,176cm,88kg,兵庫県,右投げ/右打ち
佐****,2000年01月03日,2000,1,3,182cm,86kg,宮城県,左投げ/左打ち
岩****,2003年09月17日,2003,9,17,181cm,95kg,富山県,左投げ/左打ち
武****,2001年07月21日,2001,7,21,186cm,96kg,福岡県,左投げ/左打ち
糸****,1998年04月30日,1998,4,30,172cm,80kg,愛媛県,右投げ/右打ち
青*****,2000年07月19日,2000,7,19,184cm,94kg,神奈川県,右投げ/右打ち
ア********,1995年08月10日,1995,8,10,188cm,81kg,アメリカ,右投げ/右打ち
甲****,1996年11月16日,1996,11,16,188cm,98kg,兵庫県,右投げ/左打ち
山****,2004年05月09日,2004,5,9,176cm,85kg,滋賀県,右投げ/右打ち
堀****,2003年07月15日,2003,7,15,185cm,96kg,埼玉県,右投げ/右打ち
成****,2006年02月27日,2006,2,27,184cm,91kg,青森県,右投げ/右打ち
岡****,1989年06月30日,1989,6,30,173cm,83kg,奈良県,右投げ/右打ち
木****,1988年09月13日,1988,9,13,183cm,85kg,東京都,右投げ/右打ち
鬼****,1983年04月07日,1983,4,7,177cm,77kg,佐賀県,右投げ/左打ち
田****,1966年05月11日,1966,5,11,178cm,76kg,山梨県,右投げ/右打ち
青****,1979年09月10日,1979,9,10,187cm,95kg,神奈川県,右投げ/右打ち
大****,1984年06月29日,1984,6,29,178cm,84kg,大阪府,右投げ/右打ち
大****,1981年06月15日,1981,6,15,180cm,80kg,埼玉県,左投げ/左打ち
赤****,1980年09月01日,1980,9,1,179cm,85kg,鹿児島県,右投げ/両打ち
野****,1977年12月04日,1977,12,4,180cm,92kg,熊本県,右投げ/右打ち
辻****,1976年06月08日,1976,6,8,180cm,80kg,大阪府,右投げ/左打ち
榎****,1986年08月07日,1986,8,7,178cm,95kg,鹿児島県,左投げ/左打ち
青****,1977年05月06日,1977,5,6,173cm,80kg,東京都,右投げ/右打ち
渡****,1967年06月23日,1967,6,23,178cm,85kg,高知県,右投げ/左打ち
土****,1976年09月01日,1976,9,1,176cm,76kg,埼玉県,左投げ/左打ち
小****,1976年07月24日,1976,7,24,178cm,80kg,栃木県,左投げ/左打ち
熊****,1989年04月18日,1989,4,18,175cm,76kg,愛媛県,右投げ/右打ち
黒****,1975年01月11日,1975,1,11,189cm,85kg,兵庫県,右投げ/右打ち
立****,1958年10月27日,1958,10,27,179cm,90kg,福岡県,左投げ/左打ち
仁****,1971年10月04日,1971,10,4,171cm,75kg,茨城県,右投げ/右打ち
中****,1990年02月22日,1990,2,22,183cm,89kg,兵庫県,右投げ/右打ち
大****,1988年10月10日,1988,10,10,185cm,94kg,福岡県,右投げ/左打ち
豊***,1971年02月02日,1971,2,2,179cm,85kg,三重県,右投げ/右打ち
鳥****,1971年07月01日,1971,7,1,188cm,91kg,大分県,右投げ/右打ち
西****,1972年09月26日,1972,9,26,182cm,78kg,和歌山県,右投げ/右打ち
カ********,2003年08月26日,2003,8,26,187cm,79kg,スロベニア共和国,右投げ/右打ち
オ**,2006年04月10日,2006,4,10,185cm,83kg,北海道,右投げ/右打ち
澤****,2006年07月30日,2006,7,30,170cm,68kg,北海道,右投げ/両打ち
安****,2003年02月04日,2003,2,4,198cm,110kg,愛知県,右投げ/右打ち
ラ**,2006年04月08日,2006,4,8,180cm,95kg,愛知県,右投げ/右打ち
奥****,1999年12月24日,1999,12,24,178cm,89kg,静岡県,右投げ/右打ち
林**,1997年05月19日,1997,5,19,184cm,90kg,台湾,左投げ/左打ち
岸****,1996年12月08日,1996,12,8,174cm,85kg,兵庫県,右投げ/右打ち
川****,2002年02月20日,2002,2,20,174cm,70kg,高知県,右投げ/左打ち
長*****,2002年05月17日,2002,5,17,183cm,90kg,京都府,右投げ/右打ち
仲****,2002年10月22日,2002,10,22,180cm,100kg,栃木県,右投げ/左打ち
西****,1999年06月10日,1999,6,10,181cm,90kg,大阪府,右投げ/左打ち
林***,2002年12月30日,2002,12,30,196cm,108kg,台湾,右投げ/右打ち
秋***,2003年04月20日,2003,4,20,180cm,88kg,北海道,右投げ/左打ち
古****,2004年05月25日,2004,5,25,185cm,90kg,大分県,右投げ/右打ち
茶****,1999年08月04日,1999,8,4,175cm,80kg,滋賀県,右投げ/左打ち
ア***********,2000年05月07日,2000,5,7,185cm,97kg,ドミニカ共和国,右投げ/右打ち
蛭****,2000年09月08日,2000,9,8,177cm,87kg,群馬県,左投げ/左打ち
渡****,2002年08月31日,2002,8,31,177cm,90kg,広島県,右投げ/右打ち
桑****,1993年07月21日,1993,7,21,174cm,80kg,大阪府,右投げ/右打ち
栗***,1983年09月03日,1983,9,3,177cm,85kg,兵庫県,右投げ/左打ち
フ********,2002年10月02日,2002,10,2,188cm,88kg,ドミニカ共和国,右投げ/両打ち
福****,2006年04月06日,2006,4,6,183cm,80kg,千葉県,右投げ/左打ち
金****,2003年09月02日,2003,9,2,177cm,82kg,神奈川県,右投げ/左打ち
谷****,2004年04月03日,2004,4,3,185cm,93kg,徳島県,右投げ/右打ち
古****,2000年08月25日,2000,8,25,181cm,88kg,佐賀県,右投げ/左打ち
今****,2007年09月05日,2007,9,5,180cm,81kg,兵庫県,右投げ/右打ち
新****,2007年11月11日,2007,11,11,183cm,80kg,埼玉県,右投げ/左打ち
村****,2001年08月04日,2001,8,4,197cm,115kg,三重県,右投げ/右打ち
滝****,2003年08月13日,2003,8,13,164cm,65kg,新潟県,右投げ/左打ち
中****,1983年08月15日,1983,8,15,175cm,105kg,大阪府,右投げ/右打ち
横****,2007年10月24日,2007,10,24,180cm,87kg,埼玉県,右投げ/左打ち
高***,1999年07月02日,1999,7,2,177cm,75kg,兵庫県,右投げ/左打ち
平****,1997年12月24日,1997,12,24,176cm,83kg,宮城県,右投げ/左打ち
佐****,2002年05月19日,2002,5,19,177cm,82kg,静岡県,右投げ/左打ち
山****,2002年09月28日,2002,9,28,183cm,89kg,東京都,右投げ/左打ち
