full_name,birth_date,birth_year,birth_month,birth_day,height_cm,weight_kg,hometown,throw_bat
ホ********,1996年01月10日,1996,1,10,198cm,114kg,ベネズエラ,左投げ/左打ち
毛****,2003年09月14日,2003,9,14,177cm,77kg,福岡県,左投げ/左打ち
小****,1996年07月07日,1996,7,7,178cm,85kg,埼玉県,左投げ/左打ち
横****,2001年08月05日,2001,8,5,180cm,90kg,東京都,右投げ/右打ち
種****,1998年09月07日,1998,9,7,183cm,88kg,青森県,右投げ/右打ち
石****,2007年08月16日,2007,8,16,180cm,78kg,北海道,右投げ/両打ち
唐****,1989年07月05日,1989,7,5,181cm,90kg,千葉県,右投げ/右打ち
石****,1991年12月27日,1991,12,27,185cm,88kg,東京都,右投げ/右打ち
東****,1996年04月04日,1996,4,4,172cm,80kg,和歌山県,右投げ/右打ち
菊****,2000年06月13日,2000,6,13,183cm,93kg,北海道,右投げ/左打ち
西****,1991年03月06日,1991,3,6,183cm,90kg,富山県,右投げ/右打ち
廣****,1997年12月03日,1997,12,3,175cm,83kg,岡山県,右投げ/右打ち
大****,2000年07月11日,2000,7,11,180cm,81kg,石川県,右投げ/右打ち
八***,1997年05月26日,1997,5,26,180cm,94kg,和歌山県,右投げ/右打ち
高****,1998年08月13日,1998,8,13,184cm,88kg,島根県,左投げ/左打ち
田****,2004年06月06日,2004,6,6,186cm,92kg,新潟県,右投げ/左打ち
諸****,1969年05月29日,1969,5,29,181cm,74kg,福島県,右投げ/左打ち
三***,1991年10月25日,1991,10,25,175cm,78kg,大阪府,右投げ/右打ち
金***,1984年05月05日,1984,5,5,180cm,82kg,栃木県,右投げ/左打ち
細***,1988年01月17日,1988,1,17,182cm,84kg,群馬県,右投げ/右打ち
堀***,1969年04月02日,1969,4,2,182cm,85kg,長崎県,右投げ/右打ち
南***,1989年01月18日,1989,1,18,182cm,88kg,和歌山県,右投げ/右打ち
美***,1986年09月19日,1986,9,19,169cm,75kg,茨城県,右投げ/左打ち
松****,1988年04月16日,1988,4,16,175cm,82kg,香川県,左投げ/左打ち
大****,1984年11月19日,1984,11,19,175cm,89kg,京都府,左投げ/左打ち
福****,1975年12月14日,1975,12,14,183cm,88kg,千葉県,左投げ/左打ち
伊*****,1988年05月12日,1988,5,12,179cm,79kg,沖縄県,右投げ/右打ち
根****,1983年07月08日,1983,7,8,177cm,77kg,東京都,右投げ/左打ち
江****,1992年05月06日,1992,5,6,176cm,80kg,広島県,右投げ/右打ち
栗****,1982年01月08日,1982,1,8,183cm,97kg,山形県,右投げ/右打ち
小****,1978年06月04日,1978,6,4,185cm,85kg,埼玉県,右投げ/右打ち
黒****,1973年12月13日,1973,12,13,178cm,84kg,宮崎県,右投げ/右打ち
松****,1967年04月18日,1967,4,18,174cm,78kg,和歌山県,右投げ/右打ち
西***,1984年07月27日,1984,7,27,182cm,81kg,大阪府,右投げ/両打ち
光****,1965年11月20日,1965,11,20,186cm,100kg,大阪府,右投げ/右打ち
サ***,1976年06月01日,1976,6,1,181cm,90kg,岡山県,右投げ/右打ち
ス*********,2002年08月02日,2002,8,2,195cm,104kg,ドミニカ共和国,右投げ/右打ち
藤****,2005年11月04日,2005,11,4,185cm,82kg,山口県,右投げ/左打ち
髙****,2004年06月17日,2004,6,17,187cm,93kg,兵庫県,右投げ/右打ち
杉***,2003年11月22日,2003,11,22,171cm,65kg,愛知県,左投げ/左打ち
和*****,1999年01月14日,1999,1,14,185cm,77kg,埼玉県,左投げ/左打ち
山****,2002年08月09日,2002,8,9,180cm,88kg,鳥取県,右投げ/右打ち
山****,2000年08月18日,2000,8,18,183cm,100kg,大阪府,右投げ/右打ち
愛*,1997年04月06日,1997,4,6,177cm,92kg,大阪府,右投げ/右打ち
井****,2001年08月12日,2001,8,12,189cm,100kg,大阪府,右投げ/右打ち
岡***,1991年07月15日,1991,7,15,185cm,80kg,岡山県,右投げ/右打ち
石****,1993年04月27日,1993,4,27,178cm,80kg,大阪府,右投げ/右打ち
グ*********,1991年09月14日,1991,9,14,196cm,108kg,ドミニカ共和国,左投げ/左打ち
西****,2003年03月25日,2003,3,25,182cm,88kg,和歌山県,右投げ/右打ち
角****,1987年05月25日,1987,5,25,180cm,85kg,石川県,右投げ/左打ち
藤****,2000年05月06日,2000,5,6,181cm,80kg,大阪府,左投げ/左打ち
髙****,1997年12月11日,1997,12,11,178cm,72kg,神奈川県,右投げ/左打ち
山***,1995年12月29日,1995,12,29,173cm,74kg,福岡県,右投げ/左打ち
松****,2005年12月18日,2005,12,18,175cm,75kg,佐賀県,右投げ/右打ち
谷***,2006年09月15日,2006,9,15,177cm,85kg,和歌山県,右投げ/左打ち
勝****,2004年10月07日,2004,10,7,188cm,78kg,静岡県,右投げ/右打ち
金****,2005年02月12日,2005,2,12,183cm,83kg,埼玉県,右投げ/左打ち
