full_name,birth_date,birth_year,birth_month,birth_day,height_weight,height_cm,weight_kg,hometown,throw_bat
ホ*****,1995年11月9日,1995,11,9,180cm/97kg,180cm,97kg,ベネズエラ,左投げ/左打ち
石****,1988年9月1日,1988,9,1,182cm/83kg,182cm,83kg,秋田,右投げ/右打ち
中****,2003年2月8日,2003,2,8,176cm/86kg,176cm,86kg,長崎,右投げ/左打ち
清***,1996年10月15日,1996,10,15,180cm/95kg,180cm,95kg,東京,右投げ/左打ち
奥****,2001年4月16日,2001,4,16,184cm/82kg,184cm,82kg,石川,右投げ/右打ち
石****,1980年1月22日,1980,1,22,167cm/73kg,167cm,73kg,秋田,左投げ/左打ち
木****,1998年4月25日,1998,4,25,183cm/90kg,183cm,90kg,千葉,右投げ/右打ち
吉*****,1998年1月19日,1998,1,19,183cm/85kg,183cm,85kg,東京,右投げ/右打ち
星***,1994年4月15日,1994,4,15,183cm/91kg,183cm,91kg,栃木,右投げ/右打ち
山****,1999年3月24日,1999,3,24,173cm/81kg,173cm,81kg,山口,左投げ/左打ち
松****,1999年4月14日,1999,4,14,180cm/83kg,180cm,83kg,東京,右投げ/右打ち
小****,1990年5月16日,1990,5,16,172cm/82kg,172cm,82kg,愛知,右投げ/右打ち
荘****,2000年5月22日,2000,5,22,172cm/90kg,172cm,90kg,東京,左投げ/左打ち
山****,2003年7月6日,2003,7,6,193cm/87kg,193cm,87kg,東京,右投げ/右打ち
田****,1995年9月14日,1995,9,14,171cm/79kg,171cm,79kg,広島,左投げ/左打ち
石****,2001年8月30日,2001,8,30,180cm/87kg,180cm,87kg,広島,左投げ/左打ち
山*****,1993年8月11日,1993,8,11,174cm/74kg,174cm,74kg,和歌山,左投げ/左打ち
三****,1984年1月23日,1984,1,23,168cm/70kg,168cm,70kg,山口,右投げ/左打ち
西****,1991年4月11日,1991,4,11,178cm/82kg,178cm,82kg,奈良,右投げ/右打ち
川****,1987年10月16日,1987,10,16,185cm/86kg,185cm,86kg,大阪,右投げ/左打ち
大****,1982年6月16日,1982,6,16,184cm/93kg,184cm,93kg,石川,左投げ/左打ち
田****,1982年1月9日,1982,1,9,175cm/78kg,175cm,78kg,大阪,右投げ/右打ち
村****,1987年10月25日,1987,10,25,189cm/88kg,189cm,88kg,神奈川,左投げ/左打ち
由*,1989年12月5日,1989,12,5,179cm/88kg,179cm,88kg,宮城,右投げ/左打ち
伊****,1970年10月30日,1970,10,30,185cm/85kg,185cm,85kg,京都,右投げ/右打ち
城****,1973年4月17日,1973,4,17,183cm/73kg,183cm,73kg,埼玉,右投げ/右打ち
