full_name,birth_date,birth_year,birth_month,birth_day,height_weight,height_cm,weight_kg,hometown,throw_bat
岩***,1991.06.19,1991,6,19,185 cm / 92 kg,185 cm,92 kg,静岡,左 / 左
岩****,1991.09.05,1991,9,5,183 cm / 86 kg,183 cm,86 kg,熊本,左 / 左
西***,1990.11.10,1990,11,10,181 cm / 83 kg,181 cm,83 kg,三重,右 / 右
伊****,2000.08.07,2000,8,7,170 cm / 75 kg,170 cm,75 kg,奈良,左 / 左
下****,2002.03.27,2002,3,27,174 cm / 70 kg,174 cm,70 kg,兵庫,右 / 右
大*****,1995.06.29,1995,6,29,184 cm / 87 kg,184 cm,87 kg,熊本,左 / 左
椎***,2002.03.18,2002,3,18,183 cm / 92 kg,183 cm,92 kg,大阪,右 / 右
伊****,1996.05.08,1996,5,8,179 cm / 83 kg,179 cm,83 kg,千葉,左 / 左
今*****,2006.06.02,2006,6,2,188 cm / 75 kg,188 cm,75 kg,兵庫,右 / 右
髙****,1995.11.07,1995,11,7,181 cm / 82 kg,181 cm,82 kg,静岡,左 / 左
門****,2004.07.10,2004,7,10,183 cm / 86 kg,183 cm,86 kg,北海道,左 / 左
才****,1998.11.07,1998,11,7,189 cm / 90 kg,189 cm,90 kg,兵庫,右 / 右
畠***,1994.05.31,1994,5,31,186 cm / 94 kg,186 cm,94 kg,広島,右 / 左
及****,2001.04.18,2001,4,18,184 cm / 86 kg,184 cm,86 kg,千葉,左 / 左
村****,1998.06.25,1998,6,25,175 cm / 84 kg,175 cm,84 kg,兵庫,右 / 左
ス***********,2000.09.24,2000,9,24,190 cm / 93 kg,190 cm,93 kg,ドミニカ共和国,右 / 右
俊********,1987.08.17,1987,8,17,178 cm / 77 kg,178 cm,77 kg,福岡,右 / 右
工****,1981.03.30,1981,3,30,172 cm / 74 kg,172 cm,74 kg,青森,左 / 左
山****,1986.12.13,1986,12,13,176 cm / 81 kg,176 cm,81 kg,静岡,右 / 右
野****,1973.07.23,1973,7,23,178 cm / 87 kg,178 cm,87 kg,東京,右 / 右
梵***,1980.10.11,1980,10,11,173 cm / 76 kg,173 cm,76 kg,広島,右 / 右
北****,1972.05.27,1972,5,27,180 cm / 94 kg,180 cm,94 kg,兵庫,右 / 右
桑*****,1985.10.29,1985,10,29,184 cm / 86 kg,184 cm,86 kg,三重,右 / 右
渡***,1982.02.10,1982,2,10,175 cm / 70 kg,175 cm,70 kg,徳島,右 / 右
久*****,1981.01.30,1981,1,30,180 cm / 94 kg,180 cm,94 kg,埼玉,右 / 右
平****,1959.07.31,1959,7,31,177 cm / 77 kg,177 cm,77 kg,長崎,右 / 右
片****,1975.02.24,1975,2,24,177 cm / 81 kg,177 cm,81 kg,山口,右 / 右
日***,1977.08.15,1977,8,15,181 cm / 78 kg,181 cm,78 kg,福岡,右 / 左
筒***,1974.11.01,1974,11,1,180 cm / 83 kg,180 cm,83 kg,大阪,右 / 右
田****,1977.02.23,1977,2,23,179 cm / 78 kg,179 cm,78 kg,熊本,右 / 左
上****,1986.07.04,1986,7,4,173 cm / 71 kg,173 cm,71 kg,広島,右 / 右
小*****,1980.10.10,1980,10,10,177 cm / 88 kg,177 cm,88 kg,東京,右 / 右
江****,1980.09.03,1980,9,3,178 cm / 74 kg,178 cm,74 kg,広島,左 / 左
安****,1977.12.27,1977,12,27,182 cm / 96 kg,182 cm,96 kg,大分,右 / 右
藤****,1977.10.04,1977,10,4,174 cm / 68 kg,174 cm,68 kg,兵庫,右 / 左
和***,1962.09.02,1962,9,2,174 cm / 73 kg,174 cm,73 kg,千葉,右 / 右
藤****,1980.07.21,1980,7,21,185 cm / 90 kg,185 cm,90 kg,高知,右 / 左
山****,2002.12.01,2002,12,1,174 cm / 67 kg,174 cm,67 kg,長崎,右 / 左
福****,2001.10.06,2001,10,6,171 cm / 69 kg,171 cm,69 kg,埼玉,右 / 左
西***,2001.09.13,2001,9,13,184 cm / 99 kg,184 cm,99 kg,広島,右 / 右
豊***,1997.04.28,1997,4,28,178 cm / 87 kg,178 cm,87 kg,神奈川,右 / 右
小****,1998.03.17,1998,3,17,183 cm / 81 kg,183 cm,81 kg,奈良,右 / 右
前****,2003.05.18,2003,5,18,176 cm / 92 kg,176 cm,92 kg,三重,左 / 左
島****,1996.02.06,1996,2,6,176 cm / 74 kg,176 cm,74 kg,熊本,右 / 左
井****,2005.03.17,2005,3,17,177 cm / 89 kg,177 cm,89 kg,東京,右 / 右
岡****,2003.06.23,2003,6,23,183 cm / 83 kg,183 cm,83 kg,岡山,右 / 右
濱****,2000.09.04,2000,9,4,177 cm / 81 kg,177 cm,81 kg,福岡,右 / 右
近****,1994.11.09,1994,11,9,171 cm / 71 kg,171 cm,71 kg,兵庫,左 / 左
森****,2000.08.14,2000,8,14,182 cm / 93 kg,182 cm,93 kg,神奈川,右 / 右
ジ********,2002.08.22,2002,8,22,176 cm / 87 kg,176 cm,87 kg,パナマ,右 / 右
川****,2001.05.02,2001,5,2,174 cm / 72 kg,174 cm,72 kg,石川,右 / 左
戸****,2005.01.18,2005,1,18,181 cm / 80 kg,181 cm,80 kg,大阪,右 / 右
髙****,2002.10.17,2002,10,17,178 cm / 78 kg,178 cm,78 kg,長野,右 / 左
植***,1996.04.19,1996,4,19,175 cm / 69 kg,175 cm,69 kg,滋賀,右 / 両
百****,2005.09.11,2005,9,11,179 cm / 77 kg,179 cm,77 kg,熊本,右 / 右
山****,2005.08.20,2005,8,20,177 cm / 72 kg,177 cm,72 kg,宮城,右 / 右
佐****,2002.02.14,2002,2,14,178 cm / 79 kg,178 cm,79 kg,静岡,右 / 右
小****,2000.09.21,2000,9,21,184 cm / 78 kg,184 cm,78 kg,大分,右 / 左
糸****,1992.11.11,1992,11,11,175 cm / 80 kg,175 cm,80 kg,島根,右 / 左
谷****,2004.03.17,2004,3,17,178 cm / 80 kg,178 cm,80 kg,石川,右 / 右
キ*********,1997.04.13,1997,4,13,185 cm / 88 kg,185 cm,88 kg,アメリカ,右 / 右
